Date,Equity_LS,BOND,Const80_20,Const70_30,Const60_40,w_equity,Port
2019-04-30,-0.06659413,0.00021105,-0.05323310,-0.04655258,-0.03987206,0.64335268,-0.04276824
2019-05-31,0.14582316,0.01004306,0.11866714,0.10508913,0.09151112,0.78170243,0.11618269
2019-06-30,0.08316249,0.02297794,0.07112558,0.06510712,0.05908867,0.75407523,0.06836162
2019-07-31,0.13893837,0.01719353,0.11458940,0.10241492,0.09024043,0.77361337,0.11137696
2019-08-31,0.03999301,0.02473196,0.03694080,0.03541469,0.03388859,0.71799089,0.03568925
2019-09-30,-0.07877359,-0.00470163,-0.06395920,-0.05655200,-0.04914481,0.64288928,-0.05232170
2019-10-31,-0.08557390,-0.01102233,-0.07066358,-0.06320843,-0.05575327,0.64073262,-0.05878995
2019-11-30,0.08478376,-0.00935394,0.06595622,0.05654245,0.04712868,0.74648548,0.06091849
2019-12-31,0.01318253,-0.00831729,0.00888256,0.00673258,0.00458260,0.69637200,0.00665458
2020-01-31,0.04878505,0.02273004,0.04357404,0.04096854,0.03836304,0.72351595,0.04158125
2020-02-29,-0.04763257,0.00427859,-0.03725034,-0.03205922,-0.02686810,0.65346601,-0.02964359
2020-03-31,0.08016735,-0.02236686,0.05966051,0.04940709,0.03915367,0.74153928,0.05366628
2020-04-30,0.02330372,-0.00088771,0.01846543,0.01604629,0.01362715,0.70056707,0.01606001
2020-05-31,0.05713848,0.00500790,0.04671236,0.04149930,0.03628625,0.72425520,0.04276374
2020-06-30,-0.04439516,0.00952379,-0.03361137,-0.02821947,-0.02282758,0.65484729,-0.02578489
2020-07-31,0.07294991,0.01082717,0.06052536,0.05431309,0.04810082,0.73358747,0.05639964
2020-08-31,-0.01153863,-0.00850596,-0.01093210,-0.01062883,-0.01032556,0.67475896,-0.01055228
2020-09-30,0.07261565,0.01326553,0.06074563,0.05481062,0.04887560,0.73411190,0.05683516
2020-10-31,-0.04805527,0.00976007,-0.03649220,-0.03071067,-0.02492913,0.65266354,-0.02797389
2020-11-30,-0.26660876,0.00120348,-0.21304631,-0.18626509,-0.15948386,0.60948517,-0.16202411
2020-12-31,-0.00464998,0.00131822,-0.00345634,-0.00285952,-0.00226270,0.69222167,-0.00281310
2021-01-31,0.02847401,-0.00542099,0.02169501,0.01830551,0.01491601,0.70992363,0.01864187
2021-02-28,-0.12221453,-0.02028339,-0.10182830,-0.09163519,-0.08144207,0.63833137,-0.08534923
2021-03-31,-0.00705792,0.00186768,-0.00527280,-0.00438024,-0.00348768,0.69356786,-0.00432283
2021-04-30,0.01107745,-0.01003490,0.00685498,0.00474374,0.00263251,0.70194217,0.00478475
2021-05-31,0.06399377,-0.00060096,0.05107483,0.04461535,0.03815588,0.73413897,0.04682055
2021-06-30,-0.02887738,0.00412924,-0.02227606,-0.01897540,-0.01567473,0.68293393,-0.01841210
2021-07-31,-0.03898631,0.01840540,-0.02750797,-0.02176880,-0.01602963,0.68018047,-0.02063132
2021-08-31,0.02193743,-0.00611572,0.01632680,0.01352149,0.01071617,0.71951730,0.01406901
2021-09-30,0.06183887,-0.01210953,0.04704919,0.03965435,0.03225951,0.73964327,0.04258591
2021-10-31,0.04085164,-0.00551004,0.03157930,0.02694313,0.02230697,0.72486091,0.02809573
2021-11-30,-0.01870549,0.01597943,-0.01176851,-0.00830001,-0.00483152,0.68853364,-0.00790230
2021-12-31,-0.04406863,-0.01347561,-0.03795002,-0.03489072,-0.03183142,0.67364500,-0.03408444
2022-01-31,0.01033991,-0.01325908,0.00562011,0.00326021,0.00090031,0.71095079,0.00351864
2022-02-28,0.00420155,-0.01843060,-0.00032488,-0.00258810,-0.00485131,0.70535779,-0.00246684
2022-03-31,-0.03057280,-0.02502166,-0.02946257,-0.02890746,-0.02835234,0.68431636,-0.02882039
2022-04-30,0.07392535,-0.03881399,0.05137748,0.04010354,0.02882961,0.75027743,0.04577179
2022-05-31,-0.02157192,-0.01747646,-0.02075283,-0.02034328,-0.01993373,0.69145694,-0.02030829
2022-06-30,0.07261271,-0.01913493,0.05426318,0.04508842,0.03591365,0.74861435,0.04954867
