ticker,n_obs,alpha,alpha_t,adj_R2,beta_MKT,t_MKT,beta_SMB,t_SMB,beta_MOM,t_MOM
OSB.L,141,0.0006636148740918046,0.5686290478570108,0.01475746576125947,0.040636287809792206,0.8234847864630073,-0.04871235437848323,-0.7775711815823655,0.0778008728369413,1.952668820951326
CAST.ST,141,0.003162543861120457,2.5017602575655356,0.01462334644608132,-0.06849620417364877,-1.4032337646437902,0.029871720301703576,0.48253192953835655,0.009447394506214115,0.3847149465418529
VNA.DE,141,0.0018523944632100814,1.1133207695924185,0.011126115361134947,-0.06414544152347756,-1.2244928944900222,0.10803925374543862,1.5399530738488387,-0.029084210554476124,-1.0116021993301851
STOR-B.ST,141,-0.00027406431630880377,-0.17941024450250298,0.010411482784205783,-0.026264527232354826,-0.5383941871185616,0.1325781682372299,1.7097791157142583,-0.00681739694681445,-0.26276790110474596
NN.AS,141,-0.0003615587063120829,-0.2415854523707376,0.010302933906595202,0.06776189271559006,1.294823123881152,-0.0558462402045709,-1.4176124465626523,0.05715332488684194,1.3970749346636784
COL.MC,141,0.0015348263360398795,1.1131193773250165,0.010106850844050053,-0.07051929608021987,-1.4871585825738065,-0.02864902848306528,-0.6724481708282289,-0.018219797057285644,-0.596251101076468
SDR.L,141,-0.002064886327750268,-1.3763199115753364,0.009950740014649795,0.03771752530871674,1.0857729058526273,-0.04016419412609683,-0.7733705846989156,0.06021601554487126,2.020515577249963
CS.PA,141,-0.0014399050182967428,-1.2773193523447763,0.008864555852342137,0.034271619197171276,1.120154272574819,-0.08395119459393192,-1.857739569894354,0.025139340804420422,1.122163621842249
AT1.DE,141,0.0017044809691974417,0.7058828311471451,0.008027932018464856,-0.10081051245845532,-1.187319892347902,0.10892499804003468,1.273599248341631,0.0053881656648279794,0.1289961076063123
ALLFG.AS,141,0.0013157589821134635,0.6988571328040939,0.00776492372226345,0.027383609707644585,0.8906082541081898,-0.08571696242177541,-1.0078005425530578,-0.05514806800365934,-1.0928134738229787
BALD-B.ST,141,0.0044245671593617485,3.0158218582268295,0.007217340976400255,-0.06553535908642907,-1.1636284669263404,-0.014389646637216416,-0.20610470913964668,0.016507793153189593,0.38823682328495573
INGA.AS,141,-0.0037233157977448837,-1.9354675037489195,0.007207843011782122,0.02145456968914025,0.490409883049726,0.08064450692521108,1.1619612500347165,0.04794391912587775,1.9154287321099166
LGEN.L,141,-0.0025365456651763817,-1.8620992281685775,0.00712819963730682,-0.003529389950247447,-0.10602212587802821,-0.036114968223726715,-0.6735472410418374,0.04090586978523189,1.4586037918819958
FABG.ST,141,0.0025636026392529417,2.4312347620179486,0.006698572573220818,-0.05142939259587787,-1.0524158955698246,-0.03765932567880979,-0.5517274390754001,-0.006737479978116949,-0.23032557354737407
QLT.L,141,-0.0015067468799123695,-1.38480318729633,0.006317622016143276,0.05355328216399662,1.53892700583703,-0.044228379477183666,-1.0581387759721677,0.042414360381248864,1.4010478552016592
GROW.L,141,0.0014484639680275816,0.5990755382908642,0.004631156417320481,-0.01086068863035752,-0.13863196366479208,0.034624475698942836,0.42302718226332287,0.09172770856121831,1.3671690164993606
ALV.DE,141,-0.0018579345884316384,-1.8639442500531824,0.0036703888169972165,0.03242557491695992,1.3082583901161813,-0.05373169964658585,-1.4016778259199474,0.03361776004814021,1.4087018876963548
THRL.L,141,-0.00045334269893395837,-0.5362058614765084,0.0034635264132314436,0.04132718456988302,1.1389493228554146,-0.03568443119103252,-0.7515767783975168,0.04066581436921911,1.2282272564752885
ACA.PA,141,-0.003172075150868594,-2.0142499639620404,0.002748498441725533,0.035912606373743605,0.9624886308518484,0.02507462397761163,0.5025979827769189,0.055590671010457476,2.0640336760716966
IPO.L,141,-0.0038884758051637575,-2.112249138216331,0.002372688305299242,0.04556173640098295,0.6493748314758319,-0.09462859992317807,-1.0078414734462695,0.06651304366439381,1.5131022361049726
DBK.DE,141,-0.0040168857351661575,-2.5007141103194677,0.0012247027571812286,0.049090514561469206,1.311052175651853,-0.01673406608809539,-0.2140914789942087,0.07116777925303315,2.1956186914184324
CBK.DE,141,-0.0034694457346374744,-1.6448309270767811,0.001116562995453263,0.06316239356222231,1.4272954622037115,0.03699569022417792,0.3915725258934297,0.07296234102579052,2.2749775349841923
BLND.L,141,-0.0005565770626648947,-0.428681527611436,-0.0006414509773560173,-0.02361111605570787,-0.7996167865629656,-0.021276228557422797,-0.4433218778250956,0.030139814747727256,0.8925703579122913
NDA-FI.HE,141,-0.0018575350679607215,-1.868252933415322,-0.0014861998044233271,-0.047457904001704375,-1.6449950368529942,0.03735194736559808,0.7490467063953467,0.0004570606679238748,0.0171976435553074
HSBA.L,141,-0.0033703348416223044,-2.2860004791040667,-0.002186604144087667,0.03258155834045523,0.9937169863310712,-0.03601180691309338,-0.559295301115336,0.042739698440469404,1.6142976230295227
SEB-A.ST,141,-0.0022442300059492526,-1.9472167600385049,-0.002814739443074421,-0.043323945683852554,-1.4296232180299158,-0.0009047381778078751,-0.01892750418878148,-0.010753540365289662,-0.5436155669333376
STJ.L,141,-0.001200534973627159,-0.8204268512452894,-0.0028266892903023866,0.050665739330125394,0.9035485711426884,-0.010258452438251988,-0.14123612657544288,0.06528516493841462,0.8874698668751732
SWED-A.ST,141,-0.0005310341605725215,-0.4827301318040514,-0.0034726427914766322,-0.021415282280276133,-0.9808401015635556,0.0362249261001266,0.7502831263802603,0.022995698582194135,1.1870847654697063
SHC.L,141,0.001131228487593848,0.7590694096650744,-0.0035541413413648915,-0.0376997263811261,-0.975444692093756,-0.028473114077355127,-0.4065318203814165,0.018872717428843905,0.334355826326144
EQT.ST,141,0.004206126522443447,2.75884409717661,-0.0037725967199297994,-0.020288879075917896,-0.3916340793729055,-0.06629093499304149,-0.8668749175962887,-0.0013924310502583426,-0.041955897313336564
WALL-B.ST,141,0.003984777051826163,2.769198068117524,-0.004829014712398605,-0.03029914161448367,-0.662078802229442,0.017942456819908626,0.2911835249026692,0.029342668796906675,1.028365147241425
HSX.L,141,-5.7949629356514485e-05,-0.06079280369124275,-0.005082406800324346,-0.01509649647161973,-0.5474282331369947,-0.04094537826806869,-1.041683455065373,0.02186296165125081,0.7075141185381167
NWG.L,141,-0.0040187024286261076,-1.8472620625376768,-0.005412763072233595,0.065665814467819,1.24309365757745,-0.08815062748967578,-0.9314833654584042,0.01962043488580176,0.5631704140723345
AJB.L,141,-9.590396127226871e-05,-0.08870377630015436,-0.005616114806628936,-0.013009973778653611,-0.281609341386658,0.03485034574594935,0.5274008525227447,0.03483018181743285,1.1810717601132805
SOHO.L,141,-0.0021175916354315883,-2.33607482495342,-0.005674244226766767,-0.0019017507753221613,-0.0657352493748116,-0.05771436010813988,-1.2439549923960525,-0.017471760317312197,-0.5928300671474103
NDA-SE.ST,141,-0.003093957345633102,-2.3585880523925744,-0.005801057821597455,-0.05000154390645143,-1.6739435965836367,0.04491904311885392,0.7420371096041051,-0.026702284878717245,-1.004664133410075
UNI.MC,141,-0.0027666237654716207,-1.354557817584016,-0.006416168615139162,-0.03410086005557829,-0.5021628374790439,0.005827351974872042,0.10083235970109813,0.03542639036008661,1.0112252159885162
ISP.MI,141,-0.0020341528598504743,-1.1475453273629066,-0.006840400217117848,0.055345836316531824,1.2769935794015397,0.014577883298137995,0.20344792413879176,0.03258274648236432,1.0388053012701648
UBSG.SW,141,-0.0015799924679047225,-1.1723893220955792,-0.007108382247299039,0.019582296329365968,0.4984721140072587,-0.06185620546801314,-1.332194851573035,0.023507082952550454,0.8098703346178084
KINV-B.ST,141,0.003262866607658229,2.240517923555077,-0.007905479545521121,-0.05490373079961022,-1.3919772105802954,0.01830729595881201,0.26905681978660717,-0.029388890560470025,-0.7204355154915996
CREI.L,141,0.00026718270479568674,0.24704120128455645,-0.008164758101046443,-0.004053270828265722,-0.07759027292132234,0.07378087497319195,1.1163773240727772,-0.004406686800110763,-0.15031284905573541
NRR.L,141,-0.0003190033445665055,-0.19212878673804998,-0.008166660759928446,0.02492510413566173,0.574859970173856,-0.057453740370671,-0.7596360423053631,0.04176739979207037,0.9844555178892579
AGN.AS,141,-0.001572886193230424,-1.0125824087616606,-0.008233948988840778,0.041501094246876334,1.1749750276266562,-0.043467070196722024,-0.7694360206596619,0.024639494052872576,0.991268218544043
YCA.L,141,0.0028656773257646102,1.6525725572753798,-0.008589349647201816,-0.013931943832385845,-0.23998751620786285,-0.04550408134151717,-0.718936193468328,-0.052107845226532466,-1.5206314199704403
BBVA.MC,141,-0.003291839223091708,-1.7503888672124628,-0.008718287088844257,0.027877055162967797,0.4989459234587487,-0.018033306142474673,-0.25360325655018334,0.061792165811097435,1.1142972584058386
G.MI,141,0.0007983357997094678,0.6021256587370623,-0.008800072855350338,0.01472394650791955,0.4914449496410884,-0.06281230122366635,-1.4490863910078873,0.008988104640863567,0.4983202911995261
SSIT.L,141,-0.0029741938367290623,-2.15685690581286,-0.00902493147224015,-0.027708877752968073,-0.6772968630680772,-0.008874649302096579,-0.18766368437758038,-0.031196995741936424,-1.5457309393305159
UTG.L,141,0.0014333690795241757,1.2991448309752445,-0.009390384722823164,-0.015278646501185987,-0.30481033195823254,-0.025706694445086564,-0.4864420239429806,0.01871048229747997,0.7033504673150293
SHB-A.ST,141,-0.001155952346932702,-0.9378728887577696,-0.009516471168135032,-0.02491503575439328,-0.8157852346652824,0.004424600190673247,0.10210177678974877,0.016322317122201654,0.48624050062258517
