Date,MOM
2005-03-31 23:59:59.999999999,0.0031
2005-04-30 23:59:59.999999999,0.0087
2005-05-31 23:59:59.999999999,0.016200000000000003
2005-06-30 23:59:59.999999999,0.0327
2005-07-31 23:59:59.999999999,0.011399999999999999
2005-08-31 23:59:59.999999999,0.0268
2005-09-30 23:59:59.999999999,0.029300000000000003
2005-10-31 23:59:59.999999999,-0.0175
2005-11-30 23:59:59.999999999,0.013600000000000001
2005-12-31 23:59:59.999999999,0.0149
2006-01-31 23:59:59.999999999,0.042300000000000004
2006-02-28 23:59:59.999999999,0.0075
2006-03-31 23:59:59.999999999,0.022799999999999997
2006-04-30 23:59:59.999999999,0.029500000000000002
2006-05-31 23:59:59.999999999,-0.0286
2006-06-30 23:59:59.999999999,-0.012199999999999999
2006-07-31 23:59:59.999999999,0.0011
2006-08-31 23:59:59.999999999,-0.0016
2006-09-30 23:59:59.999999999,0.0121
2006-10-31 23:59:59.999999999,0.0060999999999999995
2006-11-30 23:59:59.999999999,0.0171
2006-12-31 23:59:59.999999999,0.0282
2007-01-31 23:59:59.999999999,0.009300000000000001
2007-02-28 23:59:59.999999999,0.0124
2007-03-31 23:59:59.999999999,0.019799999999999998
2007-04-30 23:59:59.999999999,0.0054
2007-05-31 23:59:59.999999999,0.0121
2007-06-30 23:59:59.999999999,-0.005600000000000001
2007-07-31 23:59:59.999999999,0.0167
2007-08-31 23:59:59.999999999,-0.0014000000000000002
2007-09-30 23:59:59.999999999,0.0344
2007-10-31 23:59:59.999999999,0.0393
2007-11-30 23:59:59.999999999,0.018799999999999997
2007-12-31 23:59:59.999999999,0.021099999999999997
2008-01-31 23:59:59.999999999,0.0044
2008-02-29 23:59:59.999999999,0.0176
2008-03-31 23:59:59.999999999,0.0023
2008-04-30 23:59:59.999999999,0.0015
2008-05-31 23:59:59.999999999,0.044000000000000004
2008-06-30 23:59:59.999999999,0.0949
2008-07-31 23:59:59.999999999,-0.0223
2008-08-31 23:59:59.999999999,-0.0499
2008-09-30 23:59:59.999999999,0.0377
2008-10-31 23:59:59.999999999,0.1014
2008-11-30 23:59:59.999999999,0.0239
2008-12-31 23:59:59.999999999,-0.0072
2009-01-31 23:59:59.999999999,0.0332
2009-02-28 23:59:59.999999999,0.045
2009-03-31 23:59:59.999999999,-0.10310000000000001
2009-04-30 23:59:59.999999999,-0.2609
2009-05-31 23:59:59.999999999,-0.0771
2009-06-30 23:59:59.999999999,0.0246
2009-07-31 23:59:59.999999999,-0.015600000000000001
2009-08-31 23:59:59.999999999,-0.0928
2009-09-30 23:59:59.999999999,-0.027999999999999997
2009-10-31 23:59:59.999999999,0.037000000000000005
2009-11-30 23:59:59.999999999,0.0191
2009-12-31 23:59:59.999999999,0.0021
2010-01-31 23:59:59.999999999,0.0054
2010-02-28 23:59:59.999999999,0.0024
2010-03-31 23:59:59.999999999,0.051500000000000004
2010-04-30 23:59:59.999999999,0.022000000000000002
2010-05-31 23:59:59.999999999,0.0096
2010-06-30 23:59:59.999999999,0.0165
2010-07-31 23:59:59.999999999,-0.018600000000000002
2010-08-31 23:59:59.999999999,0.038
2010-09-30 23:59:59.999999999,0.0435
2010-10-31 23:59:59.999999999,0.0019
2010-11-30 23:59:59.999999999,0.0791
2010-12-31 23:59:59.999999999,0.018799999999999997
2011-01-31 23:59:59.999999999,-0.055099999999999996
2011-02-28 23:59:59.999999999,-0.0017000000000000001
2011-03-31 23:59:59.999999999,0.0218
2011-04-30 23:59:59.999999999,0.024900000000000002
2011-05-31 23:59:59.999999999,0.006
2011-06-30 23:59:59.999999999,0.023399999999999997
2011-07-31 23:59:59.999999999,0.016200000000000003
2011-08-31 23:59:59.999999999,-0.0042
2011-09-30 23:59:59.999999999,-0.011899999999999999
2011-10-31 23:59:59.999999999,0.001
2011-11-30 23:59:59.999999999,0.0622
2011-12-31 23:59:59.999999999,0.0286
2012-01-31 23:59:59.999999999,-0.08990000000000001
2012-02-29 23:59:59.999999999,-0.018600000000000002
2012-03-31 23:59:59.999999999,0.0383
2012-04-30 23:59:59.999999999,0.0894
2012-05-31 23:59:59.999999999,0.07429999999999999
2012-06-30 23:59:59.999999999,-0.0377
2012-07-31 23:59:59.999999999,0.0466
2012-08-31 23:59:59.999999999,-0.029300000000000003
2012-09-30 23:59:59.999999999,-0.0091
2012-10-31 23:59:59.999999999,0.0058
2012-11-30 23:59:59.999999999,0.023700000000000002
2012-12-31 23:59:59.999999999,-0.0097
2013-01-31 23:59:59.999999999,-0.004
2013-02-28 23:59:59.999999999,0.0454
2013-03-31 23:59:59.999999999,0.0265
2013-04-30 23:59:59.999999999,0.0098
2013-05-31 23:59:59.999999999,0.0054
2013-06-30 23:59:59.999999999,0.012
2013-07-31 23:59:59.999999999,0.036000000000000004
2013-08-31 23:59:59.999999999,-0.0235
2013-09-30 23:59:59.999999999,0.0242
2013-10-31 23:59:59.999999999,0.019799999999999998
2013-11-30 23:59:59.999999999,0.0255
2013-12-31 23:59:59.999999999,0.015
2014-01-31 23:59:59.999999999,0.0232
2014-02-28 23:59:59.999999999,0.022000000000000002
2014-03-31 23:59:59.999999999,-0.009899999999999999
2014-04-30 23:59:59.999999999,-0.0354
2014-05-31 23:59:59.999999999,-0.0023
2014-06-30 23:59:59.999999999,0.0033
2014-07-31 23:59:59.999999999,-0.0058
2014-08-31 23:59:59.999999999,0.0033
2014-09-30 23:59:59.999999999,0.024900000000000002
2014-10-31 23:59:59.999999999,0.0108
2014-11-30 23:59:59.999999999,-0.0062
2014-12-31 23:59:59.999999999,0.019799999999999998
2015-01-31 23:59:59.999999999,0.0351
2015-02-28 23:59:59.999999999,-0.0397
2015-03-31 23:59:59.999999999,0.015700000000000002
2015-04-30 23:59:59.999999999,-0.021400000000000002
2015-05-31 23:59:59.999999999,0.0356
2015-06-30 23:59:59.999999999,0.0091
2015-07-31 23:59:59.999999999,0.0353
2015-08-31 23:59:59.999999999,0.0212
2015-09-30 23:59:59.999999999,0.042800000000000005
2015-10-31 23:59:59.999999999,-0.015600000000000001
2015-11-30 23:59:59.999999999,0.026099999999999998
2015-12-31 23:59:59.999999999,0.0401
2016-01-31 23:59:59.999999999,0.0115
2016-02-29 23:59:59.999999999,-0.006999999999999999
2016-03-31 23:59:59.999999999,-0.0149
2016-04-30 23:59:59.999999999,-0.0391
2016-05-31 23:59:59.999999999,0.0381
2016-06-30 23:59:59.999999999,0.071
2016-07-31 23:59:59.999999999,-0.001
2016-08-31 23:59:59.999999999,-0.0176
2016-09-30 23:59:59.999999999,0.0313
2016-10-31 23:59:59.999999999,-0.008199999999999999
2016-11-30 23:59:59.999999999,-0.020499999999999997
2016-12-31 23:59:59.999999999,-0.0196
2017-01-31 23:59:59.999999999,0.028300000000000002
2017-02-28 23:59:59.999999999,-0.016
2017-03-31 23:59:59.999999999,0.0002
2017-04-30 23:59:59.999999999,0.0024
2017-05-31 23:59:59.999999999,-0.0044
2017-06-30 23:59:59.999999999,0.0155
2017-07-31 23:59:59.999999999,0.0196
2017-08-31 23:59:59.999999999,0.013300000000000001
2017-09-30 23:59:59.999999999,0.0063
2017-10-31 23:59:59.999999999,0.012199999999999999
2017-11-30 23:59:59.999999999,0.003
2017-12-31 23:59:59.999999999,-0.014199999999999999
2018-01-31 23:59:59.999999999,0.0296
2018-02-28 23:59:59.999999999,0.0062
2018-03-31 23:59:59.999999999,-0.0043
2018-04-30 23:59:59.999999999,0.006999999999999999
2018-05-31 23:59:59.999999999,0.02
2018-06-30 23:59:59.999999999,-0.0066
2018-07-31 23:59:59.999999999,-0.005600000000000001
2018-08-31 23:59:59.999999999,0.0242
2018-09-30 23:59:59.999999999,0.0159
2018-10-31 23:59:59.999999999,-0.0147
2018-11-30 23:59:59.999999999,-0.0209
2018-12-31 23:59:59.999999999,0.032400000000000005
2019-01-31 23:59:59.999999999,-0.0223
2019-02-28 23:59:59.999999999,-0.0116
2019-03-31 23:59:59.999999999,0.0451
2019-04-30 23:59:59.999999999,-0.043899999999999995
2019-05-31 23:59:59.999999999,0.085
2019-06-30 23:59:59.999999999,-0.0045000000000000005
2019-07-31 23:59:59.999999999,0.0139
2019-08-31 23:59:59.999999999,0.032799999999999996
2019-09-30 23:59:59.999999999,-0.0229
2019-10-31 23:59:59.999999999,-0.012199999999999999
2019-11-30 23:59:59.999999999,0.0069
2019-12-31 23:59:59.999999999,0.0166
2020-01-31 23:59:59.999999999,0.0355
2020-02-29 23:59:59.999999999,0.0076
2020-03-31 23:59:59.999999999,0.0757
2020-04-30 23:59:59.999999999,0.0102
2020-05-31 23:59:59.999999999,0.028999999999999998
2020-06-30 23:59:59.999999999,0.0075
2020-07-31 23:59:59.999999999,0.06709999999999999
2020-08-31 23:59:59.999999999,0.0004
2020-09-30 23:59:59.999999999,0.048600000000000004
2020-10-31 23:59:59.999999999,0.0066
2020-11-30 23:59:59.999999999,-0.1839
2020-12-31 23:59:59.999999999,0.0213
2021-01-31 23:59:59.999999999,0.0239
2021-02-28 23:59:59.999999999,-0.0452
2021-03-31 23:59:59.999999999,-0.0166
2021-04-30 23:59:59.999999999,0.0167
2021-05-31 23:59:59.999999999,0.0078000000000000005
2021-06-30 23:59:59.999999999,-0.0091
2021-07-31 23:59:59.999999999,0.025699999999999997
2021-08-31 23:59:59.999999999,0.0006
2021-09-30 23:59:59.999999999,-0.0059
2021-10-31 23:59:59.999999999,0.0273
2021-11-30 23:59:59.999999999,-0.0046
2021-12-31 23:59:59.999999999,0.0003
2022-01-31 23:59:59.999999999,-0.0509
2022-02-28 23:59:59.999999999,-0.0002
2022-03-31 23:59:59.999999999,0.0417
2022-04-30 23:59:59.999999999,0.0204
2022-05-31 23:59:59.999999999,-0.016399999999999998
2022-06-30 23:59:59.999999999,0.039599999999999996
2022-07-31 23:59:59.999999999,-0.0286
2022-08-31 23:59:59.999999999,0.06280000000000001
2022-09-30 23:59:59.999999999,0.0404
2022-10-31 23:59:59.999999999,-0.0131
2022-11-30 23:59:59.999999999,-0.0529
2022-12-31 23:59:59.999999999,0.0287
2023-01-31 23:59:59.999999999,-0.0526
2023-02-28 23:59:59.999999999,0.015600000000000001
2023-03-31 23:59:59.999999999,0.0021
2023-04-30 23:59:59.999999999,-0.004
2023-05-31 23:59:59.999999999,0.025
2023-06-30 23:59:59.999999999,0.0199
2023-07-31 23:59:59.999999999,-0.025699999999999997
2023-08-31 23:59:59.999999999,0.012
2023-09-30 23:59:59.999999999,0.0004
2023-10-31 23:59:59.999999999,0.0127
2023-11-30 23:59:59.999999999,0.0141
2023-12-31 23:59:59.999999999,-0.0382
2024-01-31 23:59:59.999999999,0.032799999999999996
2024-02-29 23:59:59.999999999,0.0335
2024-03-31 23:59:59.999999999,0.0038
2024-04-30 23:59:59.999999999,-0.0092
2024-05-31 23:59:59.999999999,0.009300000000000001
2024-06-30 23:59:59.999999999,0.0262
2024-07-31 23:59:59.999999999,-0.004699999999999999
2024-08-31 23:59:59.999999999,0.0073
2024-09-30 23:59:59.999999999,-0.0045000000000000005
2024-10-31 23:59:59.999999999,0.0182
2024-11-30 23:59:59.999999999,0.03
2024-12-31 23:59:59.999999999,-0.005600000000000001
2025-01-31 23:59:59.999999999,0.0063
2025-02-28 23:59:59.999999999,0.015700000000000002
2025-03-31 23:59:59.999999999,0.0286
2025-04-30 23:59:59.999999999,0.0274
2025-05-31 23:59:59.999999999,0.0077
2025-06-30 23:59:59.999999999,0.0033
2025-07-31 23:59:59.999999999,0.021099999999999997
